Id,SalePrice
1461,156000
1462,145250
1463,181000
1464,181000
1465,189000
1466,185000
1467,173000
1468,176000
1469,180500
1470,123000
1471,181000
1472,118000
1473,112000
1474,148500
1475,133000
1476,345000
1477,318000
1478,314813
1479,318000
1480,582933
1481,309000
1482,202500
1483,172785
1484,160200
1485,160000
1486,183500
1487,340000
1488,232000
1489,208300
1490,227680
1491,194500
1492,107000
1493,130500
1494,290000
1495,290000
1496,155000
1497,183900
1498,151000
1499,147400
1500,147400
1501,168500
1502,148800
1503,282922
1504,239000
1505,250580
1506,205000
1507,240000
1508,190000
1509,154000
1510,144900
1511,144900
1512,137900
1513,171000
1514,136000
1515,135000
1516,149500
1517,140000
1518,145000
1519,184000
1520,141000
1521,143000
1522,167000
1523,135000
1524,142000
1525,128900
1526,140000
1527,115000
1528,119000
1529,139950
1530,163000
1531,107400
1532,87000
1533,130000
1534,112000
1535,135000
1536,110000
1537,125000
1538,161000
1539,159500
1540,104000
1541,157500
1542,162900
1543,184000
1544,82500
1545,120000
1546,134900
1547,149000
1548,132500
1549,141500
1550,141500
1551,110500
1552,135000
1553,128000
1554,114504
1555,190000
1556,190000
1557,135900
1558,91000
1559,160000
1560,135900
1561,136500
1562,130000
1563,130000
1564,132000
1565,148000
1566,260000
1567,129000
1568,240000
1569,139600
1570,155000
1571,98000
1572,60000
1573,240000
1574,167000
1575,189000
1576,238000
1577,194500
1578,152000
1579,148000
1580,191000
1581,133500
1582,112500
1583,305900
1584,274300
1585,140000
1586,86000
1587,60000
1588,60000
1589,137500
1590,125000
1591,119000
1592,159434
1593,91000
1594,118500
1595,130000
1596,250000
1597,145000
1598,311500
1599,197000
1600,197000
1601,34900
1602,141000
1603,106500
1604,275000
1605,171000
1606,171500
1607,150900
1608,224500
1609,187500
1610,167500
1611,143000
1612,170000
1613,170000
1614,88000
1615,97000
1616,75000
1617,75000
1618,119500
1619,160000
1620,126000
1621,188000
1622,145000
1623,271000
1624,215000
1625,151500
1626,180500
1627,181000
1628,222000
1629,163900
1630,278000
1631,212000
1632,212000
1633,190000
1634,175000
1635,185000
1636,176000
1637,169000
1638,197900
1639,205000
1640,250000
1641,205000
1642,226000
1643,263435
1644,263435
1645,175000
1646,153500
1647,170000
1648,140000
1649,138500
1650,120500
1651,120500
1652,118000
1653,94500
1654,155000
1655,140000
1656,155000
1657,155000
1658,155000
1659,133000
1660,150000
1661,412500
1662,426000
1663,402861
1664,555000
1665,314813
1666,440000
1667,437154
1668,255500
1669,395192
1670,325000
1671,220000
1672,440000
1673,309000
1674,274900
1675,194700
1676,196000
1677,207000
1678,386250
1679,440000
1680,318061
1681,277500
1682,315000
1683,171750
1684,179540
1685,176000
1686,160200
1687,190000
1688,183500
1689,176500
1690,179540
1691,162000
1692,222000
1693,190000
1694,176000
1695,180000
1696,222000
1697,180000
1698,325000
1699,350000
1700,260000
1701,248000
1702,249700
1703,245000
1704,290000
1705,225000
1706,320000
1707,250580
1708,250580
1709,255000
1710,262500
